project_id,project_source,project_namespace,project_name,display_name,event_source,repository_count,first_commit_date,last_commit_date,star_count,fork_count,developer_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months
rqZBGkL_I2YdMzn6AsloysnvQd1P_szbw9ruZc2arQw=,OSS_DIRECTORY,oso,commonsbuild,Token Engineering Commons,GITHUB,54,2020-10-12 18:00:04.000000 UTC,2024-10-24 00:19:59.000000 UTC,93,80,37,82,2,1,0,2,3,0,0,0,1
7sOH8lAoHO-zAWLyIenxT3lrOGgonqAVBcb8n--fTic=,OSS_DIRECTORY,oso,ssbc,wildfiressb,GITHUB,247,2015-01-07 05:19:57.000000 UTC,2024-10-19 19:48:22.000000 UTC,10180,1430,44,660,7,4,0,1,25,6,2,2,0
0meRIUEV48cb8Plf7X1knIWJZmcrGA3NY91bcOlUNk8=,OSS_DIRECTORY,oso,1hive,1Hive Gardens,GITHUB,169,2017-07-03 23:59:01.000000 UTC,2024-10-22 16:50:26.000000 UTC,884,931,51,325,12,1,0,5,177,164,144,167,151
FeFFZGg-KLyhRhnbi2rWRUm3OPnQzXoil0vGxSR532M=,OSS_DIRECTORY,oso,vocdoni,vocdoni,GITHUB,110,2019-10-21 23:22:41.000000 UTC,2024-10-24 14:51:53.000000 UTC,501,192,34,117,17,2,1.97814208,11,1061,380,318,243,208
V-4zX6sbpekcUa8dFB8nfRW3IpxnGtGjDIUHg8eJmnc=,OSS_DIRECTORY,oso,shapeshift,ShapeShift DAO,GITHUB,48,2019-08-05 17:49:36.000000 UTC,2024-10-24 17:48:56.000000 UTC,560,524,41,196,19,4,3.53005464,7,899,885,848,436,451
osL3B-y8yn0ALvvF90E-K8sPXgenbqc3PCpeCC67MHE=,OSS_DIRECTORY,oso,metagov,The Metagovernance Project,GITHUB,55,2020-01-29 13:19:04.000000 UTC,2024-10-23 08:36:18.000000 UTC,283,91,29,72,19,8,0.28961749,13,394,26,15,16,11
_rSUGbgCLjCC0SxFrS6u6299eSa8Vde7C1ftbaFzBuo=,OSS_DIRECTORY,oso,giveth,Giveth,GITHUB,135,2016-10-04 20:53:50.000000 UTC,2024-10-24 11:27:42.000000 UTC,2072,1108,84,323,38,10,2.43715847,23,3691,903,796,605,786
2FbCE3vC1iaPdMBCTLdUmWOA5tmFemxOTFCoUuAKyg0=,OSS_DIRECTORY,oso,opencollective,Open Collective,GITHUB,919,2015-09-27 06:08:01.000000 UTC,2024-10-24 11:57:26.000000 UTC,4452,2163,39,980,48,27,2.1420765,8,729,827,696,201,142
r1E7lYltpd3pipZ4-yhn6wABCt0mUfRdjxr208MG5fU=,OSS_DIRECTORY,oso,dappnode,DAppNode,GITHUB,254,2018-02-27 19:36:04.000000 UTC,2024-10-23 14:25:59.000000 UTC,1113,673,43,393,54,26,1.67213115,19,1114,1024,615,115,107
Erx9J64anc8oSeN-wDKm0sojJf8ONrFVYbQ7GFnqSyc=,OSS_DIRECTORY,oso,opensource-observer,Open Source Observer,GITHUB,14,2023-07-28 01:52:08.000000 UTC,2024-10-25 01:32:23.000000 UTC,166,157,77,131,116,102,2.84699454,71,1137,869,801,549,464
